"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C12417","7~CloneInstance","C269","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","515","13","545","29","1","1","62","31","1","0"
"C12418","8~CloneInstance","C269","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","549","13","579","29","1","1","62","31","1","0"
"C12419","10~CloneInstance","C270","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","515","13","544","44","1","1","61","30","1","0"
"C12420","11~CloneInstance","C270","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","549","13","578","44","1","1","61","30","1","0"
"C12421","12~CloneInstance","C270","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","583","13","612","44","1","1","61","30","1","0"
"C15919","14~CloneInstance","C713","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","412","13","437","43","1","1","45","26","1","0"
"C15920","15~CloneInstance","C713","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","446","13","471","43","1","1","45","26","1","0"
"C16663","29~CloneInstance","C823","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","448","13","477","29","1","1","59","30","1","0"
"C16664","30~CloneInstance","C823","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","482","13","511","29","1","1","59","30","1","0"
"C16665","32~CloneInstance","C824","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","414","13","437","43","1","1","41","24","1","0"
"C16666","33~CloneInstance","C824","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","448","13","471","43","1","1","41","24","1","0"
"C16667","34~CloneInstance","C824","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","482","13","505","43","1","1","41","24","1","0"
"C16703","36~CloneInstance","C833","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","449","13","477","29","1","1","58","29","1","0"
"C16704","37~CloneInstance","C833","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","483","13","511","29","1","1","58","29","1","0"
"C16705","38~CloneInstance","C833","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","517","13","545","29","1","1","58","29","1","0"
"C16706","39~CloneInstance","C833","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","551","13","579","29","1","1","58","29","1","0"
"C16707","41~CloneInstance","C834","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","449","13","476","44","1","1","57","28","1","0"
"C16708","42~CloneInstance","C834","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","483","13","510","44","1","1","57","28","1","0"
"C16709","43~CloneInstance","C834","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","517","13","544","44","1","1","57","28","1","0"
