"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","LDC","LLDC","LLOC","LOC","MI","MIMS","MISEI","MISM","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L1149","String encrypt(String plaintext)","com.serotonin.mango.Common.encrypt(Ljava/lang/String;)Ljava/lang/String;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","389","5","409","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","19","21","0","0","0","0","4","0","0","0","1","12","1","0","1","19","21","12","0","0","0","0","4","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0"
"L1175","HttpClient getHttpClient()","com.serotonin.mango.Common.getHttpClient()LHttpClient;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","413","5","415","6","0","0","0","0","0","0","0","3","2","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","1","0","0","0","1","1","0","0","3","3","3","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1178","HttpClient getHttpClient(int timeout)","com.serotonin.mango.Common.getHttpClient(I)LHttpClient;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","417","5","445","6","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","21","29","0","0","0","0","2","0","0","0","4","14","1","0","2","21","29","14","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1207","String getMessage(String key)","com.serotonin.mango.Common.getMessage(Ljava/lang/String;)Ljava/lang/String;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","455","5","458","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","1","0","0","0","1","2","1","0","0","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1212","ResourceBundle getBundle()","com.serotonin.mango.Common.getBundle()Ljava/util/ResourceBundle;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","460","5","463","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","1","0","0","0","1","2","0","0","0","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1209","void ensureI18n()","com.serotonin.mango.Common.ensureI18n()V","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","465","5","477","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","13","0","0","0","0","4","0","0","0","2","8","0","0","0","13","13","8","0","1","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"L1227","String getMessage(String key, Object[] args)","com.serotonin.mango.Common.getMessage(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","479","5","482","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","1","0","0","0","1","2","2","0","0","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1234","void setSystemLanguage(String language)","com.serotonin.mango.Common.setSystemLanguage(Ljava/lang/String;)V","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","484","5","490","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","2","0","0","0","2","5","1","0","0","7","7","5","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1220","Locale findLocale(String language)","com.serotonin.mango.Common.findLocale(Ljava/lang/String;)Ljava/util/Locale;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","492","5","498","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","3","0","0","0","0","4","1","0","0","7","7","4","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1248","List<KeyValuePair> getLanguages()","com.serotonin.mango.Common.getLanguages()Ljava/util/List;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","500","5","506","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","2","0","0","0","0","5","0","0","0","7","7","5","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1256","String generateXid(String prefix)","com.serotonin.mango.Common.generateXid(Ljava/lang/String;)Ljava/lang/String;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","508","5","510","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","1","0","0","0","0","1","1","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1262","LocalizableMessage getDataTypeMessage(int id)","com.serotonin.mango.DataTypes.getDataTypeMessage(I)LLocalizableMessage;","L1258","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\DataTypes.java","33","5","47","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","15","0","0","0","0","6","0","0","0","0","7","1","0","0","15","15","7","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
